Tanggal,Keterangan,Jumlah,Bank,Cabang
11/08/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,40750000.00 ,BCA,8115
11/08/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,40000000.00 ,BCA,8115
11/08/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20000000.00 ,BCA,8115
11/08/2012,SETORAN KLIRING #WARKAT L:00 I:01 NAGA MAS,50000000.00 ,BCA,8285
11/08/2012,SETORAN KLIRING #WARKAT L:00 I:01 BIMA MAJU 03568,20250000.00 ,BCA,8285
11/08/2012,SETORAN TUNAI ANI JINGGA PELUNASAN FAK 27-10-12 DAN 29-10-12 DAN 31-10-12  ,60000000.00 ,BCA,8200
11/08/2012,SETORAN TUNAI   ,20250000.00 ,BCA,0383
11/08/2012,SETORAN TUNAI BAKRI CV ANUGRAH JAYA   ,20250000.00 ,BCA,8285
11/08/2012,SETORAN TUNAI SUSILAWATY PEMBAYARAN SEME  N DARI KALI JAT I  ,41000000.00 ,BCA,0175
11/08/2012,TRSF E-BANKING CR 0811/FTSCY/WS95011 100000000.00  do 3000 sak RAMAWATY  ,100000000.00 ,BCA,0000
11/08/2012,TRSF E-BANKING CR 0811/FTSCY/WS95011 18500000.00  do 3000 sak RAMAWATY  ,18500000.00 ,BCA,0000
11/08/2012,SETORAN TUNAI MARWAN UD.MARYAM 03460  SEMENT500SAK KSR  ,20125000.00 ,BCA,0297
11/09/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20000000.00 ,BCA,8115
11/09/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20250000.00 ,BCA,8115
11/09/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20125000.00 ,BCA,8115
11/09/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20500000.00 ,BCA,8115
11/09/2012,SETORAN KLIRING #WARKAT L:00 I:01 INDOMAS 03452,20125000.00 ,BCA,8285
11/09/2012,SETORAN TUNAI,20000000.00 ,BCA,8000
11/09/2012,SETORAN WAHIDAH TUNAS FAMILY (03596)  ,20000000.00 ,BCA,8285
11/09/2012,SETORAN WAHIDAH SINAR JAYA (04393)  ,20000000.00 ,BCA,8285
11/09/2012,SETORAN TUNAI PARISAL CV ALWI  1000 SAK  ,42250000.00 ,BCA,8235
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20000000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20000000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,118500000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,40800000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20250000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20250000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:00 I:01 STR KLG,60375000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20000000.00 ,BCA,8115
11/12/2012,SETORAN KLIRING #WARKAT L:00 I:01 NAGA MAS (04146.03406)  ,50000000.00 ,BCA,8285
11/12/2012,SETORAN KLIRING #WARKAT L:00 I:01 RIZKINTA 03433,20125000.00 ,BCA,8285
11/12/2012,SETORAN KLIRING #WARKAT L:00 I:01 HARAPAN JAYA  03371  ,10000000.00 ,BCA,8285
11/12/2012,SETORAN KLIRING #WARKAT L:00 I:01 SUBUR 03616,20000000.00 ,BCA,8285
11/12/2012,SETORAN KLIRING #WARKAT L:00 I:01 SINAR MAKMUR  03609  ,20000000.00 ,BCA,8285
11/12/2012,TRSF E-BANKING CR 1011/FTSCY/WS95011 20250000.00  merbau 03429 HERWIN SYAHPUTRA  ,20250000.00 ,BCA,0000
11/12/2012,TRSF E-BANKING CR 1211/FTSCY/WS95011 20000000.00  Duniaco kisaran Invo 2616  MEDIANA ,20000000.00 ,BCA,0000
11/12/2012,TRSF E-BANKING CR 1211/FTSCY/WS95011 40000000.00  pursida PINTA RONITTO SITA  ,40000000.00 ,BCA,0000
11/12/2012,SETORAN TUNAI JARIAMAN S UD TAS PTS   ,20000000.00 ,BCA,8200
11/12/2012,TRSF E-BANKING CR 11/12 75511 UD.TAS AMBL SENDRI  JUNIAMAN SARAGIH  ,19250000.00 ,BCA,0000
11/12/2012,SETORAN TUNAI TRI V JAYA   ,20000000.00 ,BCA,7985
11/12/2012,SETORAN TUNAI SUDIRMAN TJB   ,20000000.00 ,BCA,0052
11/12/2012,KR OTOMATIS LLG-MUAMALAT SUDIR MUHAMMAD YUSUF  TRANSFER SKN MUHAM MAD YUSUF  ,21250000.00 ,BCA,0965
11/12/2012,SETORAN TUNAI NINO SEMEN 1000 SAK  PL MINO UJUNG K UBU  ,40125000.00 ,BCA,8255
11/12/2012,SETORAN TUNAI ARWIN SEMEN 500 SAK P  L RIMBUN JAYA 0 4016  ,20125000.00 ,BCA,8255
11/12/2012,KR OTOMATIS LLG-BRI KCK SUDIRM UD LINSARUDY SIMBO  pt gunung pantara baris 8115054526  ,17325000.00 ,BCA,0965
11/12/2012,SETORAN TUNAI   ,3000000.00 ,BCA,8115
11/13/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,19160000.00 ,BCA,8115
11/13/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,19250000.00 ,BCA,8115
11/13/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20125000.00 ,BCA,8115
11/13/2012,SETORAN KLIRING #WARKAT L:01 I:00 STR KLG,20000000.00 ,BCA,8115
11/13/2012,SETORAN KLIRING #WARKAT L:00 I:01 SINAR JAYA (03586.03598),40500000.00 ,BCA,8285
11/13/2012,SETORAN KLIRING #WARKAT L:00 I:01 USAHA BARU  03606  ,20000000.00 ,BCA,8285
11/13/2012,SETORAN KLIRING #WARKAT L:01 I:00 IMMANUEL 03434,20250000.00 ,BCA,8285
11/13/2012,SETORAN KLIRING #WARKAT L:00 I:01 SINAR JAYA  03666  ,20000000.00 ,BCA,8285
11/13/2012,SETORAN KLIRING #WARKAT L:00 I:01 SINAR JAYA  04373  ,20000000.00 ,BCA,8285
11/13/2012,SETORAN TUNAI SUSILAWATY PBY SEMEN DARI  KALI JATI  ,41000000.00 ,BCA,0175
11/13/2012,KR OTOMATIS LLG-MESTIKA DHARMA SAUDARA JAYA/BENNY ,20000000.00 ,BCA,0965
11/13/2012,SETORAN WAHIDAH SINAR JAYA (04456)  ,20000000.00 ,BCA,8285
11/13/2012,SETORAN TRSF DR 0220370372 DARI PL. DESA M  AJU UTK TGL 05/ 11/12 DN 03605  ,20250000.00 ,BCA,8000
11/13/2012,SWITCHING CR TRANSFER   DR 002 POLMA GURNING  2082 - KCP  ,11550000.00 ,BCA,0998
11/13/2012,SETORAN TUNAI PL FARIS IRWANS 1000 SAK SEMEN  TBT  ,40500000.00 ,BCA,0042
11/13/2012,TRSF E-BANKING CR 1311/FTSCY/WS95011 20000000.00  do.04418/BK8013DU dr ud.martimbul-ks  SUMARDI CHANDRA ,20000000.00 ,BCA,0000
11/13/2012,SETORAN TUNAI SUMAR PANGLONG  REZA MAS  ,20250000.00 ,BCA,8285
11/13/2012,SETORAN TUNAI NOVISANTI DO 03282(PL.RUDI)  ,20125000.00 ,BCA,8115
11/13/2012,SETORAN TUNAI  USAHA BARU (4497) USAHA BARU (414)4222 USAHA BARU (4003) ,27163000.00 ,BCA,0383
11/13/2012,TRSF E-BANKING CR 13/11  WSID:17021 YULIANTI DEWI SE   ,20500000.00 ,BCA,0000
11/13/2012,KR OTOMATIS LLG-BPD SUMUT MEDA UD. FAUZAR  PEMBAYARAN BAHAN B ANGUNAN  ,20250000.00 ,BCA,0965
11/13/2012,KR OTOMATIS LLG-BRI KCK SUDIRM UD LINSARUDY SIMBO  PT GUNUNG PANTARA BARIS 8115054526  ,17325000.00 ,BCA,0965
11/13/2012,TRSF E-BANKING CR 11/13 79571 EDY DHARMAWAN   ,20000000.00 ,BCA,0000
11/14/2012,SETORAN KLIRING #WARKAT L:00 I:01 KARUNIA JAYA  03411  ,20125000.00 ,BCA,8285
11/14/2012,SETORAN KLIRING #WARKAT L:00 I:01 MANDIRI JAYA  03441  ,20125000.00 ,BCA,8285
11/14/2012,SETORAN KLIRING #WARKAT L:00 I:01 PELITA 03688 ,20000000.00 ,BCA,8285
11/14/2012,SETORAN KLIRING #WARKAT L:00 I:01 CAHAYA BARU  04455  ,20000000.00 ,BCA,8285
11/14/2012,TRSF E-BANKING CR 14/11  WSID:69641 YULIANTI DEWI SE,20500000.00 ,BCA,0000
11/14/2012,SETORAN PEMINDAHAN,20000000.00 ,BCA,8285
11/14/2012,KR OTOMATIS LLG-MESTIKA DHARMA SAUDARA JAYA/BENNY  ,20000000.00 ,BCA,0965
11/14/2012,SETORAN TUNAI IDWAN SIMALUNGUN TRASO (3827) ANUGRAH JAYA T  TIRAM(5229) ,4950000.00 ,BCA,8115
11/14/2012,SETORAN TUNAI PALA PINTO,20000000.00 ,BCA,8200
11/14/2012,SETORAN TUNAI EDY SUWANTO INV 3593 DR REZ  KY MAKMUR TG BA LAI  ,20000000.00 ,BCA,0052
11/14/2012,KR OTOMATIS LLG-MUAMALAT SUDIR MUHAMMAD YUSUF  TRANSFER SKN MUHAM MAD YUSUF  ,21000000.00 ,BCA,0965
11/14/2012,KR OTOMATIS LLG-MUAMALAT SUDIR MUHAMMAD YUSUF  TRANSFER SKN MUHAM MAD YUSUF  ,21500000.00 ,BCA,0965
11/14/2012,KR OTOMATIS PT BANK SUMUT MEDA PDSUIDJ1/033564  UD NIRMA PMBYRN SEMEN PANTA  ,30800000.00 ,BCA,0998
